"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT06","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-01",,,"0.11",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-02",,,"1.19",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-03",,,"1.10",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-04",,,"0.07",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-05",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-06",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-07",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-08",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-09",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-10",,,"0.27",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-12",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-13",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-14",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-17",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-19",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-20",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-21",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-10-22",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-01",,,"0.04",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-02",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-03",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-04",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-05",,,"0.19",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-06",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-07",,,"0.04",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-08",,,"0.15",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-09",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-10",,,"0.73",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-11",,,"0.09",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-12",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-13",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-14",,,"0.00",,,,,,,,,,
